District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
MLK106;AMQ;AMBON;WETAR BARAT, MALUKU BARAT DAYA;No;No;INDONESIA
PAP311;WMX;WAMENA;WESAPUT, JAYAWIJAYA;No;Yes;INDONESIA
JTG559;SUO;SUKOHARJO;WERU, SUKOHARJO;No;Yes;INDONESIA
JBR624;CRB;CIREBON;WERU, CIREBON;No;Yes;INDONESIA
AMQCONS1034;AMQ;AMBON;WERTAMRIAN, KEPULAUAN TANIMBAR (MALUKU TENGGARA BARAT);No;No;INDONESIA
SXKCONS20;SXK;SAUMLAKI;WERMAKTIAN, KEPULAUAN TANIMBAR (MALUKU TENGGARA BARAT);No;No;INDONESIA
MLK102;AMQ;AMBON;WERINAMA, SERAM BAGIAN TIMUR;No;No;INDONESIA
WMXCONS2265;WMX;WAMENA;WERIMA, YAHUKIMO;No;No;INDONESIA
PBR202;SOQ;SORONG;WERIAGAR, TELUK BINTUNI;No;No;INDONESIA
WMXCONS2254;WMX;WAMENA;WEREKA, LANNY JAYA;No;No;INDONESIA
NTB113;BMU;BIMA;WERA, BIMA;No;No;INDONESIA
SLU165;MDC;MANADO;WENANG, MANADO;No;Yes;INDONESIA
PAP310;WMX;WAMENA;WENAM, TOLIKARA;No;No;INDONESIA
SOQCONS1272;SOQ;SORONG;WEMAK, SORONG;No;No;INDONESIA
ABUCONS126;ABU;ATAMBUA;WELIMAN, MALAKA;No;No;INDONESIA
DJJCONS2497;DJJ;JAYAPURA;WELESI, JAYAWIJAYA;No;No;INDONESIA
JTG558;KDL;KENDAL;WELERI, KENDAL;No;Yes;INDONESIA
WMXCONS2226;WMX;WAMENA;WELAREK, YALIMO;No;No;INDONESIA
NTT284;LBJ;LABUAN BAJO (MANGGARAI BARAT);WELAK, MANGGARAI BARAT;No;No;INDONESIA
JTG557;WKB;JEPARA;WELAHAN, JEPARA;No;Yes;INDONESIA
DJJCONS2245;DJJ;JAYAPURA;WEIME, PEGUNUNGAN BINTANG;No;No;INDONESIA
DJJCONS2244;DJJ;JAYAPURA;WEGEE MUKA, PANIAI;No;No;INDONESIA
DJJCONS2243;DJJ;JAYAPURA;WEGEE BINO, PANIAI;No;No;INDONESIA
JTG556;DMK;DEMAK;WEDUNG, DEMAK;No;No;INDONESIA
JTG555;KLE;KLATEN;WEDI, KLATEN;No;Yes;INDONESIA
